volume_id,0_spleen,1_spleen,2_spleen,3_spleen,4_spleen,5_spleen,6_spleen,7_spleen,8_spleen,9_spleen,0_liver,1_liver,2_liver,3_liver,4_liver,5_liver,6_liver,7_liver,8_liver,9_liver,seg_spleen,seg_liver
KORA2452967,12927,12821,12712,12593,12708,12700,12718,12814,12914,12654,110718,111393,111419,111048,110701,111706,110756,110737,110599,110966,110450,12769
KORA2459526,20711,20395,20661,20698,20588,20535,20709,20717,20430,20399,170056,169671,169688,169249,170064,169745,169932,169946,169662,169695,169665,20596
KORA2455268,7322,7018,7057,6963,7177,7390,7032,7185,6897,7183,107288,107235,107370,107869,107603,107160,107324,109421,107178,107974,107193,7009
KORA2454788,16088,16118,15962,16175,16266,16167,16126,16176,16104,16137,113766,113195,113905,113274,113666,113676,113979,112873,112913,113088,113393,16064
KORA2453589,18046,18004,18200,18049,18088,18104,18049,18031,18149,18224,150873,150439,150137,151267,150331,150726,150131,150614,149111,150494,150143,18095
KORA2456202,17535,17573,17584,17731,17569,17661,17494,17545,17544,17586,144370,143880,144549,143968,143730,143970,144115,144154,144106,144330,144026,17579
KORA2459774,14982,14968,15108,14993,15083,14919,15087,15105,14924,15094,158151,158038,158284,157592,157851,158035,157771,158292,158125,158571,158003,14994
KORA2459983,13016,12778,13302,13034,13077,13335,13130,13078,13121,13207,115568,116451,115590,115536,115831,115908,116262,114719,115419,115717,115605,12909
KORA2452094,20627,20355,20650,20486,20621,20708,20539,20658,20662,20818,272756,273829,270944,273810,271822,273524,274195,274074,273975,273134,273124,20559
KORA2460447,21938,21998,21933,21995,21947,21914,21828,21906,21801,21955,109827,109834,109682,109851,109411,109723,109929,109781,109752,109571,109633,21907
KORA2459548,25910,25911,25974,25952,25805,25840,25932,25848,25921,25896,139623,140561,140362,140140,140476,140450,140509,139635,140253,140123,140228,25885
KORA2452665,14878,14801,14751,14825,14796,14826,14945,14719,14773,14818,148777,150347,150380,149208,150236,149180,149705,148943,150091,149751,149684,14794
KORA2462161,20174,20118,20047,20153,19883,20296,20196,20140,20181,19863,162444,162669,161692,162700,162774,162114,162568,162488,161752,161717,161848,20145
KORA2460309,3694,3807,3763,3762,3724,3689,3764,3792,3670,3753,98556,99277,98319,99031,98707,99452,99004,99138,98883,98839,98995,3648
KORA2461520,13267,13233,13217,13183,13195,13242,13124,13275,13348,13205,115604,115039,115227,115052,115680,115036,114721,115382,115711,115807,115287,13195
KORA2456379,11987,12679,12174,12231,12135,12258,12162,12404,12079,12139,146103,146900,146580,146752,147088,147330,147360,146942,147540,147037,147003,12117
KORA2462374,16360,16382,16461,16418,16390,16364,16453,16458,16410,16521,136483,135754,135996,136479,136010,136703,136426,136564,136450,135900,136229,16447
KORA2459763,26492,26197,26085,26263,26191,26334,26228,26181,26023,26123,144193,143921,143230,143745,143468,142970,144564,143072,143470,143770,143107,26152
KORA2460249,4291,4412,4322,4299,4312,4305,4343,4277,4298,4473,86072,85778,85965,85982,85644,85648,85589,85752,85950,85982,85741,4312
KORA2458402,15090,15175,15278,15117,15071,15150,15166,15077,15104,15148,128595,128462,127955,128476,128354,128375,128170,127851,128394,127999,128195,15125
KORA2452364,27023,26949,27392,26932,27251,26513,27183,26754,26673,27229,126886,127177,127926,128233,127350,127400,127095,127623,127582,127304,127430,27222
KORA2452834,20378,20405,20369,20426,20471,20462,20494,20489,20404,20420,145703,146912,144875,146038,145108,146692,147172,146877,145089,145696,145546,20401
KORA2462150,11698,11366,11677,11620,11364,11413,11579,11496,11633,11375,106030,105975,107075,106902,106662,105204,105885,105770,105549,105657,105703,11578
KORA2456793,8409,8071,8207,7929,8334,8000,8148,8383,7879,7574,111542,111929,111401,110635,111971,110288,112122,111163,110529,110973,110824,7985
KORA2459908,13970,14006,13922,14017,14013,13970,14010,13952,13982,14020,163349,163448,163658,162885,163243,162582,164054,163131,162756,162100,163018,13969
KORA2453150,4232,3771,3691,3978,3742,4111,4223,3921,3670,4065,84496,84139,84710,84410,84921,84941,83901,84360,85294,84513,84422,4035
KORA2456199,8203,8359,8228,8364,8236,8138,8311,8278,8193,8236,103573,103645,103609,103820,103356,103305,103565,103400,103625,103208,103511,8198
KORA2462352,26825,26332,26831,26855,26501,27149,27430,26706,27007,27035,269016,270041,267688,268185,265615,270444,269508,268790,267043,267080,268290,26999
KORA2453677,18697,18696,18759,18702,18767,18781,18724,18561,18716,18763,126733,126621,126797,126455,126747,126305,126463,126363,126466,126612,126416,18679
KORA2452913,21745,22122,21859,22713,22079,21663,21929,22476,22101,22094,116834,115925,116751,117326,117095,116155,117309,116773,117020,116359,116500,22181
KORA2453811,12350,12464,12544,12477,12509,12319,12426,12239,12269,12357,127026,126896,127073,127253,126526,127142,126613,127108,126380,127033,126907,12409
KORA2460174,8906,9033,8984,8976,8926,8977,8941,8950,9067,8959,97080,96787,96486,96366,96970,95970,96750,96587,97064,96289,96695,8961
KORA2461885,34350,34365,34062,34437,34292,34240,34073,34304,34268,34156,188517,188092,189010,188845,188771,187796,189243,188035,187030,188489,188119,34179
KORA2455951,33212,33280,34017,33359,33607,33502,33419,33419,33090,33354,180618,179012,180225,178496,182387,182382,182257,180823,178758,181872,179514,33318
KORA2459807,19749,19774,19649,19656,19628,19673,19633,19691,19679,19606,123851,124913,125330,125289,124382,125321,123201,125762,124749,124100,124009,19674
KORA2456278,10081,10082,9926,10047,10029,10086,10010,10052,9959,10148,93460,93679,93262,93830,93548,93786,93803,93248,94368,92981,93150,10015
KORA2461151,19533,19592,19632,19659,19656,19580,19738,19502,19595,19560,152566,152927,152671,153518,153938,153053,153001,153121,152943,152074,152575,19589
KORA2458158,12300,12217,12195,12253,12118,12184,12064,12031,12203,12137,110769,110415,110944,111158,110474,110314,111415,111140,110941,110283,110720,12161
KORA2455042,20853,21244,21342,21290,21057,21028,20923,21149,21076,21027,108081,108897,107876,108896,108586,108796,107827,108175,108167,107804,107616,21182
KORA2460326,22830,22694,22945,22965,22746,22914,22792,22985,22872,22725,136427,136445,136077,136394,136127,136271,136133,136327,136667,136291,136262,22850
KORA2452924,18500,18481,18557,18558,18528,18345,18430,18431,18450,18627,124048,123744,124016,124212,124195,124313,123953,123945,124318,124958,124118,18460
KORA2456928,21267,21203,21043,21167,21354,20869,21063,21085,21143,21237,165759,165213,165172,165504,165866,165814,165304,165036,165761,165887,165484,21069
KORA2453374,15967,16071,16023,16114,15778,16060,15777,15635,15687,15665,151727,151792,151930,150459,151239,151026,151481,150183,150928,150653,151321,15893
KORA2460785,16783,16620,16599,16581,16500,16596,16667,16719,16434,16505,129709,130737,131154,130727,130861,130344,130190,131277,129181,131131,130152,16578
KORA2459947,9477,9645,9533,9679,9661,9529,9581,9606,9611,9510,90651,91171,91103,91107,90825,90900,90602,90863,91020,90773,90737,9603
KORA2459455,13976,14117,13512,14323,14035,14282,14148,14050,14256,14131,141206,142340,142637,143590,142162,143730,143813,143303,143652,141995,142573,14141
KORA2459681,15743,15786,15836,15987,15632,15955,15780,15961,15771,15798,126758,125721,125747,125851,126143,126396,125579,126296,125490,125944,125478,15774
KORA2457266,20154,20215,20134,20119,20018,20086,20030,19967,20052,20001,148510,148063,148368,148098,148154,148158,148016,148198,148342,147912,148005,20069
KORA2461493,27728,27913,27841,27897,27841,27750,27733,27731,27800,27893,130438,130506,130249,130640,130230,130127,130462,130778,130673,130074,130387,27841
KORA2453732,11700,11851,11861,11768,11803,11838,11873,11782,11853,11817,110777,110051,110002,110208,110385,109399,110674,110284,110285,110500,110356,11814
KORA2456357,20607,20674,20819,20760,20693,20714,20837,20606,20733,20675,138044,137744,138147,138100,138059,138186,138487,138192,138206,137393,138016,20690
KORA2453524,20360,20624,20541,20657,20581,20563,20525,20705,20518,20518,128894,129601,129843,129981,128863,129426,129526,130153,130317,129563,129292,20499
KORA2452868,20379,20647,20479,20290,20187,20301,20548,20278,20406,20314,175138,175889,176738,175967,175380,176344,175099,176155,175659,175153,175509,20315
KORA2457517,10781,11030,10885,10886,10873,10983,10765,10814,10884,10938,130379,129465,130793,130640,129631,129698,130470,129600,129555,130999,129763,10812
KORA2461409,11152,11127,10862,11102,11050,10967,10899,11001,11150,11255,117695,117771,116891,117886,118817,117005,118296,117250,117609,117607,117831,11008
KORA2459752,35433,35448,35295,35418,35357,35457,35417,35547,35548,35115,187325,187165,187694,187845,186780,187408,187400,186718,187293,187073,186991,35408
KORA2452263,12339,12381,12371,12253,12393,12421,12297,12351,12311,12304,117991,117936,117752,117701,118193,117795,118157,117995,118214,117807,117861,12327
KORA2460867,15795,15918,15804,15690,15740,15779,15867,15814,15942,15854,109206,109445,109681,109767,109142,110159,109016,109656,110048,109912,109384,15644
KORA2460878,19238,19262,19321,18965,18762,18921,18888,18381,18695,19166,157012,157199,157577,157449,156613,156462,157122,157268,157377,157143,157048,18823
KORA2453082,10744,10755,10801,11009,10811,10815,10771,10642,10977,10700,111411,111924,110780,110564,111138,111371,111698,111537,110503,111668,110798,10819
KORA2453037,16531,16653,16325,16642,16670,16467,16508,16591,16580,16566,98505,101300,95469,102112,99458,100226,100034,103023,102149,104812,100124,16624
KORA2462345,9360,9347,9336,9297,9406,9475,9543,9514,9295,9372,161517,161517,161095,161557,160829,161760,161517,161679,161742,161848,161679,9360
KORA2461252,21224,21189,21207,21242,21243,21094,21132,21293,21100,21149,149173,149494,149515,149328,149427,149802,149247,149769,149970,149655,149483,21187
