volume_id,0_spleen,1_spleen,2_spleen,3_spleen,4_spleen,5_spleen,6_spleen,7_spleen,8_spleen,9_spleen,0_liver,1_liver,2_liver,3_liver,4_liver,5_liver,6_liver,7_liver,8_liver,9_liver,seg_liver,seg_spleen
KORA2452967,13717,13416,13742,13406,13688,13470,13457,13891,13432,13681,113147,113731,112827,113114,113698,113545,113096,113222,114499,113514,1362120,163152
KORA2459526,20128,20324,20484,19883,20228,20435,20282,20411,20159,20266,174730,173107,174001,174330,173849,173758,174192,174059,174438,174477,2085276,242316
KORA2455268,7389,7389,7184,7281,7392,7348,6831,7635,7314,7299,108749,110102,108527,109299,108573,108853,109028,108424,108803,108800,1299456,87480
KORA2454788,16748,16590,16667,16560,16382,16837,16497,16633,16653,16684,112782,111517,112269,112712,111220,111073,111562,111693,111770,111076,1338132,198228
KORA2453589,17909,18005,17932,17928,17897,17902,17983,17800,17883,17910,149933,151125,150502,150541,150199,150089,151354,150665,151013,150626,1799316,214644
KORA2456202,17850,17873,17826,17904,17960,17794,17825,17792,17924,18013,145428,145838,145675,146448,146026,146110,145871,146175,145698,146339,1750860,213792
KORA2459774,15261,15256,15187,15098,15530,15516,15193,15655,15099,15433,156852,157324,157792,157443,157881,157386,157294,157484,157775,157291,1885596,181320
KORA2459983,12244,12039,12404,12310,12259,12065,12261,12373,12108,12133,106583,106548,106797,106498,106787,106566,106465,106778,106085,106384,1280364,146532
KORA2452094,18854,18840,19100,18750,18601,18968,19123,18909,18493,18744,238193,238758,240935,240411,241477,241430,238692,241309,239391,242374,2889204,225936
KORA2460447,21996,21950,21925,21948,21910,21903,22023,21859,21987,21923,111116,112920,111929,112799,111791,113418,113270,111967,111935,112233,1337592,263076
KORA2459548,26054,26044,25976,26090,26099,26090,26120,26124,25956,25985,141642,141544,141179,141890,141878,141714,141985,141543,142164,142090,1703064,312600
KORA2452665,15145,15068,15054,15088,15208,15083,15156,15177,15098,15205,152439,153508,151281,153655,153018,153420,152172,153294,152572,153241,1830540,180900
KORA2462161,20424,20358,20511,20372,20526,20569,20647,20360,20534,20456,160960,161548,160992,161124,161803,161782,161663,161482,161795,161235,1934760,245064
KORA2460309,3948,3703,4026,3841,3722,3826,4220,4187,3939,3707,98574,98478,98539,98237,98260,98250,98086,99017,98154,97822,1180164,44016
KORA2461520,13584,13455,13462,13565,13640,13668,13606,13517,13624,13515,115497,115347,115511,115420,115730,115841,115396,115678,115706,115728,1386816,162768
KORA2456379,13383,13415,13300,13404,13387,13380,13473,13443,13435,13271,151995,151994,151697,152259,151592,151861,151546,151658,152105,152525,1820700,159660
KORA2462374,17272,17213,17348,17287,17320,17241,17222,17356,17380,17448,140627,140947,140631,140909,139313,140282,140272,141026,140428,140342,1684812,207396
KORA2459763,26454,26416,26789,26738,26480,26902,26694,26686,26716,26725,145330,145219,144640,145317,145559,145456,146358,144878,144558,145170,1738740,319176
KORA2460249,4404,4530,4395,4368,4449,4445,4391,4361,4437,4419,84541,85056,85092,84651,83810,85607,85043,84251,84616,84449,1017060,52272
KORA2458402,14996,14927,14874,14963,14944,14907,14974,14882,14856,14906,125098,126357,126265,126192,125551,124525,124165,125780,126107,124898,1506948,178932
KORA2452364,27248,27342,27327,27387,27181,27295,27206,27559,27333,27122,128481,127847,128294,128166,127743,127728,128320,128635,128059,128526,1538484,327528
KORA2452834,20729,20615,20694,20709,20735,20683,20674,20678,20743,20682,146620,147408,145979,146770,147063,147377,145651,146577,147986,147223,1755948,248148
KORA2462150,11304,11184,11187,11286,11239,11295,11267,11218,11161,11257,100095,102204,100669,99953,100141,100978,99944,101663,99629,100891,1205784,134952
KORA2456793,4219,4190,4279,4957,4303,5140,4665,4495,4488,5280,110904,110791,108708,109658,110016,109369,109587,109902,108147,110122,1314168,53064
KORA2459908,14176,14091,14160,14102,14215,14042,14146,14092,14151,14102,160927,161511,161444,161324,161441,160940,161348,161383,162044,162095,1938756,169308
KORA2453150,3918,4091,3800,3880,3505,3596,3603,3715,4093,3678,84210,84399,84577,84421,83759,83955,85338,84817,84694,83444,1012524,45804
KORA2456199,8041,8385,8406,8340,8392,8366,8197,8331,8505,8441,101292,101236,101353,100987,101215,100674,101237,101570,101224,101253,1216560,98424
KORA2462352,22900,22646,23393,23670,23335,23468,23663,23498,23457,22852,228949,234260,233479,231601,230665,232308,233413,229714,231403,234311,2801244,280080
KORA2453677,19940,19981,19909,19997,20051,20067,19968,19895,19916,19825,128754,128835,129421,128980,129330,128860,128581,129183,129056,128782,1545648,238668
KORA2452913,20251,20028,19938,20271,20007,20330,20538,20304,20292,20211,115377,114847,115387,115577,114930,114912,115113,115521,114869,114624,1384200,243048
KORA2453811,12855,12683,12599,12745,12754,12519,12709,12762,12729,12515,126309,125891,126231,126224,126883,126562,125650,126031,125710,126384,1516152,152280
KORA2460174,9556,9641,9463,9354,9406,9597,9587,9492,9577,9528,95268,95215,95578,95640,95893,95130,94703,95370,95026,95730,1143960,113640
KORA2461885,33885,33928,33833,33985,33944,33855,34152,33751,33698,33738,185550,186322,186185,185678,186688,186108,186577,185321,186489,185708,2231184,405456
KORA2455951,27577,27665,28011,27811,27974,27927,27310,27867,26265,28212,212651,220699,225397,220481,233281,213943,221503,216534,218854,212242,2520192,335820
KORA2459807,20313,20323,20205,20096,20250,20290,20232,20131,20067,20405,127397,127411,128454,127962,126812,127765,126676,127421,127119,126909,1519320,242292
KORA2456278,9646,9543,9686,9709,9857,9713,9960,9627,9595,9571,93538,93283,94006,94688,95071,93774,93159,93153,92645,92989,1120524,116376
KORA2461151,20083,20120,19999,20170,20385,20309,20017,20010,19932,20251,143619,143452,144594,144810,142712,144205,142579,144360,145774,142572,1708140,238308
KORA2458158,11761,11744,11721,11765,11833,11793,11860,11909,11713,11802,107669,107871,107288,107620,107518,107535,107764,107196,107260,107837,1291344,141252
KORA2455042,21009,20691,20858,20751,20922,20925,20759,20959,20934,20834,109286,109033,107930,108920,108673,109073,108555,109505,108495,109111,1303140,249744
KORA2460326,23034,22959,23006,22937,22945,22945,23003,22850,22963,22966,137652,137978,138050,137848,137873,137493,138171,137965,137982,137930,1653372,275160
KORA2452924,10436,11823,10638,10970,10208,11213,11280,10273,10886,10015,122057,122199,119259,121681,119435,122504,120477,122002,119550,121992,1458684,133032
KORA2456928,20163,20132,20268,19994,20198,19974,20096,20148,20016,20251,165475,165811,165515,166221,165607,165934,165851,165808,166337,165434,1985724,240360
KORA2453374,15014,15143,14962,15071,15029,14990,15165,14932,15120,15093,100646,103417,102734,100335,103956,100668,104761,102020,103807,104272,1245408,180684
KORA2460785,16080,15768,15844,15893,16095,16271,16056,15840,15929,15756,130402,130693,131014,130351,131384,131013,129696,130831,130548,132256,1567236,191628
KORA2459947,8351,8330,7916,8591,8250,7749,8871,7779,7859,8760,85904,86913,85873,86069,86575,86810,86186,86582,86132,86006,1039200,100956
KORA2459455,12031,11331,11323,11419,12393,12454,10709,10889,11699,11978,143077,145763,144228,148550,146298,145446,145056,148548,146636,146457,1752432,142104
KORA2459681,15047,14990,15172,15254,15101,14869,14719,15248,15046,15286,121267,121262,121463,121807,124234,120542,121857,121102,122165,121238,1469688,180420
KORA2457266,20032,20060,20205,20061,19981,19985,20120,20072,20137,20100,150611,149893,149997,150340,150410,150862,150105,149566,150100,150004,1800228,240684
KORA2461493,28605,28528,28592,28529,28363,28615,28514,28593,28579,28437,133528,133228,133766,133378,133748,133589,133559,133336,133223,133461,1600188,342336
KORA2453732,11643,11639,11763,11725,11812,11678,11656,11719,11572,11722,109635,109247,110017,109716,109173,110121,109645,109703,110308,109786,1317768,139380
