volume_id,0_spleen,1_spleen,2_spleen,3_spleen,4_spleen,5_spleen,6_spleen,7_spleen,8_spleen,9_spleen,0_liver,1_liver,2_liver,3_liver,4_liver,5_liver,6_liver,7_liver,8_liver,9_liver,seg_liver,seg_spleen
KORA2452967,12649,12657,12652,12662,12647,12680,12651,12661,12641,12650,107825,107890,107925,107865,107909,107827,107890,107880,107896,107836,1294560,151872
KORA2459526,20359,20345,20365,20346,20362,20373,20378,20364,20356,20379,169591,169568,169594,169564,169553,169594,169563,169565,169637,169544,2034828,244344
KORA2455268,6891,6889,6891,6896,6896,6892,6883,6890,6892,6897,106191,106214,106183,106215,106197,106206,106175,106182,106230,106175,1274292,82692
KORA2454788,16244,16279,16287,16254,16254,16280,16268,16277,16245,16272,108813,108787,108851,108834,108866,108791,108788,108736,108748,108840,1305684,195096
KORA2453589,17916,17927,17918,17912,17908,17897,17907,17897,17920,17902,150502,150490,150476,150442,150549,150553,150522,150378,150581,150547,1806072,214908
KORA2456202,17363,17353,17368,17338,17350,17345,17367,17353,17353,17359,143931,143957,143963,143974,144009,143944,143907,143954,143923,143932,1727256,208200
KORA2459774,15324,15318,15307,15313,15297,15312,15297,15312,15332,15318,157734,157780,157765,157786,157804,157764,157781,157746,157826,157818,1893480,183768
KORA2459983,12726,12718,12718,12723,12729,12726,12726,12720,12723,12720,114588,114625,114641,114590,114669,114665,114727,114695,114620,114669,1375668,152736
KORA2452094,17146,17117,17114,17125,17139,17115,17123,17138,17150,17109,264050,264082,264311,264473,264061,264270,264407,264041,264481,264229,3170820,205464
KORA2460447,21784,21771,21778,21756,21761,21772,21762,21772,21770,21771,109340,109360,109338,109334,109324,109362,109346,109290,109329,109337,1312056,261252
KORA2459548,25991,26002,26004,26007,25996,25997,25994,25984,25981,25994,140054,140063,140011,140069,140032,140050,140071,140069,140056,140035,1680684,311844
KORA2452665,14569,14563,14562,14567,14566,14563,14565,14558,14570,14575,151304,151176,151228,151195,151163,151197,151257,151201,151290,151304,1814784,174864
KORA2462161,20253,20243,20273,20255,20258,20240,20271,20262,20244,20250,163720,163672,163699,163715,163704,163803,163771,163674,163712,163788,1964760,243072
KORA2460309,3411,3344,3372,3392,3390,3347,3378,3369,3353,3402,98357,98427,98328,98315,98362,98370,98314,98331,98303,98354,1179996,40524
KORA2461520,13024,13000,13020,13011,13009,12998,13019,13008,13004,13008,114501,114513,114498,114540,114512,114490,114513,114514,114548,114507,1374096,156108
KORA2456379,12796,12787,12809,12802,12802,12801,12803,12791,12815,12820,148842,148833,148935,148877,148919,148872,148911,148914,148879,148881,1786524,153660
KORA2462374,16728,16747,16741,16742,16746,16741,16740,16738,16752,16748,136754,136720,136689,136747,136682,136747,136676,136715,136642,136686,1640400,200904
KORA2459763,25910,25918,25909,25909,25903,25873,25909,25900,25891,25869,143895,144009,143949,143954,143910,143919,144017,143904,143953,143934,1727112,310872
KORA2460249,4252,4251,4244,4252,4246,4246,4259,4255,4248,4257,85081,85039,85065,85073,85084,84993,85048,84998,85090,85048,1020720,51012
KORA2458402,14913,14908,14920,14918,14915,14916,14923,14919,14916,14910,128330,128330,128333,128385,128346,128391,128378,128367,128350,128311,1540176,179028
KORA2452364,27306,27313,27316,27357,27339,27318,27334,27333,27348,27330,127803,127820,127803,127831,127772,127835,127826,127826,127829,127846,1534056,328008
KORA2452834,20227,20236,20223,20222,20229,20231,20227,20233,20231,20235,145882,145920,145885,145789,145837,145775,145881,145811,145856,145827,1750320,242724
KORA2462150,11403,11407,11402,11400,11407,11408,11400,11409,11403,11410,106143,106176,106229,106152,106172,106170,106163,106122,106161,106258,1274196,136836
KORA2456793,4510,4503,4473,4500,4505,4472,4501,4477,4543,4507,110612,110619,110549,110558,110564,110622,110573,110535,110598,110597,1326960,53964
KORA2459908,13972,13971,13973,13976,13978,13974,13978,13981,13978,13971,161952,161946,161927,161927,161974,161942,161930,161850,161938,161892,1943124,167712
KORA2453150,4475,4469,4461,4466,4467,4450,4462,4475,4443,4437,85781,85755,85743,85757,85714,85705,85728,85757,85725,85801,1028808,53568
KORA2456199,8177,8176,8176,8177,8161,8167,8178,8174,8177,8162,104362,104384,104312,104413,104342,104364,104364,104392,104421,104369,1252440,98076
KORA2462352,14140,14228,14113,14180,14116,14226,14131,14087,14145,14170,251215,251257,251367,251262,251260,251467,251062,251218,251365,251108,3014424,169596
KORA2453677,18935,18924,18915,18912,18921,18924,18924,18937,18908,18926,127818,127864,127833,127889,127834,127835,127775,127828,127808,127831,1533900,227052
KORA2452913,20343,20365,20357,20374,20377,20378,20352,20367,20327,20328,114418,114407,114392,114425,114447,114434,114405,114395,114487,114462,1373076,244272
KORA2453811,12160,12151,12166,12158,12160,12164,12168,12161,12170,12164,126971,127009,126957,127010,127011,127066,127012,127028,127014,127027,1524108,145968
KORA2460174,9098,9092,9090,9093,9089,9088,9095,9094,9096,9099,95819,95843,95793,95801,95787,95853,95879,95852,95772,95847,1149876,109092
KORA2461885,34160,34151,34133,34128,34142,34121,34171,34150,34131,34117,188614,188649,188607,188633,188664,188655,188642,188569,188681,188564,2263488,409596
KORA2455951,32025,31998,32021,32016,32005,32002,32071,32026,31996,32026,187413,187432,187799,187018,187898,188050,187513,188073,186785,187730,2250984,384312
KORA2459807,19138,19135,19135,19146,19130,19133,19116,19125,19129,19135,124336,124242,124348,124222,124417,124225,124343,124282,124347,124317,1491528,229584
KORA2456278,9725,9744,9733,9721,9733,9740,9738,9754,9750,9731,93124,93160,93151,93177,93146,93201,93096,93139,93085,93149,1117704,116868
KORA2461151,19412,19401,19409,19400,19397,19388,19417,19398,19409,19398,151880,151934,151920,151960,151857,151865,151906,151904,151900,151858,1822980,232812
KORA2458158,12032,12023,12028,12029,12018,12016,12026,12032,12031,12025,109798,109797,109775,109778,109756,109777,109791,109791,109767,109752,1317480,144300
KORA2455042,19908,19903,19920,19927,19894,19917,19906,19928,19925,19923,107140,107163,107134,107183,107068,107121,107131,107118,107167,107164,1285644,238884
