volume_id,0_spleen,1_spleen,2_spleen,3_spleen,4_spleen,5_spleen,6_spleen,7_spleen,8_spleen,9_spleen,0_liver,1_liver,2_liver,3_liver,4_liver,5_liver,6_liver,7_liver,8_liver,9_liver,seg_liver,seg_spleen
KORA2452967,148140,147984,148152,148464,148212,148380,148140,148200,148128,148188,1306428,1306644,1306164,1306428,1306068,1306044,1306428,1306056,1306572,1306344,1306428,148188
KORA2459526,228012,228324,228360,228276,228336,228264,228264,228228,228444,228168,2027844,2029800,2028336,2028480,2028000,2028000,2028252,2027904,2028528,2028312,2028348,228300
KORA2455268,87816,87900,87840,88020,87972,87888,87924,87708,87936,87840,1286148,1285884,1286160,1286916,1286688,1286592,1286688,1285812,1285716,1286304,1286256,87900
KORA2454788,190260,190416,190248,190056,190248,190116,190332,190224,190272,189996,1318620,1317756,1317996,1318392,1318812,1318512,1317684,1317948,1318644,1317624,1318092,190284
KORA2453589,219348,219456,219456,219420,219468,219408,219408,219408,219360,219324,1805652,1805796,1806096,1805508,1805940,1806024,1806108,1805880,1805436,1805184,1805772,219408
KORA2456202,210624,210276,210624,210504,210528,210444,210516,210396,210540,210516,1703148,1702848,1703340,1702752,1703832,1703616,1703208,1702512,1703160,1702896,1703280,210540
KORA2459774,178020,177936,177816,177972,178080,178008,177960,177936,177972,178020,1880136,1880856,1878828,1879584,1879956,1880784,1880004,1879200,1879080,1880064,1879728,177936
KORA2459983,147708,147936,147564,147600,147720,147600,147516,147660,147576,147600,1337760,1337568,1336608,1336680,1337412,1337364,1336476,1337760,1336776,1337508,1337364,147660
KORA2452094,220920,220944,220968,220908,221052,221172,220704,220416,220896,221220,3082332,3086376,3088116,3088668,3085008,3087912,3085116,3086340,3087684,3088020,3086532,221016
KORA2460447,265812,265992,266112,265836,265968,265788,265908,266184,265968,265860,1338036,1338000,1338156,1338048,1337736,1338084,1338852,1338312,1338528,1337976,1338120,265908
KORA2459548,299868,299520,299724,299568,299700,299868,299796,299820,299532,299712,1658592,1658940,1658808,1658412,1658100,1659312,1659912,1658916,1659324,1659204,1658940,299712
KORA2452665,181548,181620,181536,181452,181344,181620,181512,181464,181512,181440,1766472,1766448,1766028,1765788,1765560,1764756,1765824,1764480,1762908,1765836,1765512,181500
KORA2462161,240396,240552,240060,240456,239928,240168,240168,240132,240180,240336,1950720,1951380,1950288,1950396,1950192,1950336,1950600,1951752,1950048,1950672,1950588,240204
